guna_word,spanish_word,synonyms,english_word,english_synonyms
Wiloed,Añadir,,Add,#VALUE!
Wiloged,Añadir más líquido,,Add more liquid,#VALUE!
Owisoged,Informar,"Avisar, Notificar, Anunciar, , ",Report,"Warning, Report, Advertise,"
Oyoed,Mostrar,"Manifestar, Expresar, Exponer, , ",To show,"Express, express, display,"
Oyeged,Mostrar,"Exponer, , , , ",To show,"Expose, , , ,"
Oyoggued,Perder,"Extraviar, , , , ",To lose,"Misplacing,,,,"
Oeged,Perder,"Extraviar, , , , ",To lose,"Misplacing,,,,"
Aadi,eso,,That,#VALUE!
Abbalalla,Centrico,,Central,#VALUE!
Anna,Hola,"Que tal, , , , ",Hi,"How are you, , , ,"
Saa,Excremento,"Heces, Excreta, Oxido, , ",Excrement,"Stool, Excreta, rust,"
Saabio,Diarrea,"Evacuaciones liquidas, , , , ",Diarrhea,"Evacuations liquids,,,,"
Disegad,Diarrea,,Diarrhea,#VALUE!
Sadib,Diarrea,,Diarrhea,#VALUE!
Saamesed,Oxidarse,"Corroerse, , , , ",Rust,"Corroding,,,,"
Saban,Estómago,"Vientre, , , , ",Stomach,"Belly, , , ,"
Sader,Estómago,"Vientre, , , , ",Stomach,"Belly, , , ,"
Sagi,Estómago,"Vientre, , , , ",Stomach,"Belly, , , ,"
Sabban,Leña,,Firewood,#VALUE!
Sabbi,Arbol,"Arbusto, , , , ",Tree,"Bush,,,,"
Naa,Hola,"Que tal, , , , ",Hi,"How are you, , , ,"
Sabbibenega,Seno materno,,womb,#VALUE!
Sabbidurba,Fruta,,Fruit,#VALUE!
Sabbigaa,Hoja del arbol,,Leaf of the tree,#VALUE!
Sabbigarda,Arbol de hojas amargas,,Tree bitter leaves,#VALUE!
Sabbimali,Raíz del árbol,,Tree's root,#VALUE!
Sabbimima,Cogollo de la raíz de la planta,,Whorl root of the plant,#VALUE!
Sabbin,Joven,"Discíoulo, Alumno, , , ",Young,"Discíoulo, Student,,,"
Sabbir,Zurdo,"Izquierda, , , , ",Left handed,"Left, , , ,"
Sabbiled,Zurdo,"Izquierda, , , , ",Left handed,"Left, , , ,"
Sabbisagla,Raíz del árbol,,Tree's root,#VALUE!
Annaed,Pisar,,Step,#VALUE!
Sabbimali,Raíz del árbol,,Tree's root,#VALUE!
Sabbiugga,Corteza de árbol,,Tree bark,#VALUE!
Sabbiwar,Tronco de árbol,,Tree trunk,#VALUE!
Sabbiwala,Tronco de árbol,,Tree trunk,#VALUE!
Sabbur,Bosque,"Monte, Selva, , , ",Forest,"Monte Forest,"
Sabdur,Jagua,,Jagua,#VALUE!
